"par","design","transform","x_type","prior","lb","ub","truth","mode","q025","q975","p_truth","verdict","sub"
"ec50","linear","identity","Gamma","gamma(5, 0.8)",0,10,5,5.00056948703217,1.97296530305943,9.55074238314035,0.412235030470781,"ok",""
"ec50","linear","log","gaussian","normal(1.6094379124341, 9.24052013875843)",-0.693147180559945,2.30258509299405,1.6094379124341,1.60907149124256,-0.616596014373441,2.22811065536095,0.766951472373275,"ok","control 0 -> 0.5"
"ec50","linear","sqrt","Gamma","gamma(5, 1.78885438199983)",0,3.16227766016838,2.23606797749979,2.23583193257461,0.814946379861901,3.10078197942527,0.556971734219628,"ok",""
"ec50","linear_unit","identity","Beta","beta(2, 2)",0,1,0.5,0.499999999999996,0.0942993240502461,0.905700675949754,0.5,"ok",""
"ec50","linear_unit","log","gaussian","normal(-0.693147180559945, 9.24052013875843)",-2.99573227355399,0,-0.693147180559945,-0.693513601751492,-2.91918110736749,-0.0744744376331045,0.766951472373276,"ok","control 0 -> 0.05"
"ec50","linear_unit","sqrt","Beta","beta(2, 2)",0,1,0.707106781186548,0.499999999999996,0.0942993240502461,0.905700675949754,0.792893218813453,"ok",""
"ec50","log_2fold","identity","Gamma","gamma(5, 6.4)",0,10,2.5,0.625242711891022,0.253669748456003,1.60024823053183,0.999599562336624,"truth in extreme tail",""
"ec50","log_2fold","log","gaussian","normal(-0.470003629245736, 18.0712942147325)",-3.24419363285249,2.30258509299405,0.916290731874155,-0.469417578005012,-3.10451089610269,2.16290420684219,0.750806634634665,"ok","control 0 -> 0.039"
"ec50","log_2fold","sqrt","Gamma","gamma(5, 5.05964425626941)",0,3.16227766016838,1.58113883008419,0.790441531322615,0.320835005857845,2.01948478387703,0.900728285042754,"truth in tail",""
"ec50","log_unit","identity","Beta","beta(2, 2)",0,1,0.5,0.499999999999996,0.0942993240502461,0.905700675949754,0.5,"ok",""
"ec50","log_unit","log","gaussian","normal(-3.11996295320324, 20.0841774682848)",-6.23992590640648,0,-0.693147180559945,-3.11996295320324,-6.08276079942288,-0.157165106983603,0.88953412008243,"ok","control 0 -> 0.00195"
"ec50","log_unit","sqrt","Beta","beta(2, 2)",0,1,0.707106781186548,0.499999999999996,0.0942993240502461,0.905700675949754,0.792893218813453,"ok",""
"ec50","log_wide","identity","Gamma","gamma(5, 25)",0,20,2,0.160062134244102,0.0649394556047368,0.409663547016148,1,"support excludes truth",""
"ec50","log_wide","log","gaussian","normal(-1.83258146374831, 24.2467303459692)",-5.29831736654804,2.99573227355399,0.693147180559945,-1.83347679187144,-5.0900607476108,2.78551673780463,0.724209835912225,"ok","control 0 -> 0.005"
"ec50","log_wide","sqrt","Gamma","gamma(5, 10)",0,4.47213595499958,1.4142135623731,0.400155335474792,0.162348639011842,1.02415886754033,0.99837463521249,"truth in extreme tail",""
"nec","linear","identity","Gamma","gamma(5, 0.8)",0,10,4,5.00056948703217,1.97296530305943,9.55074238314035,0.243664353372302,"ok",""
"nec","linear","log","gaussian","normal(1.6094379124341, 9.24052013875843)",-0.693147180559945,2.30258509299405,1.38629436111989,1.60907149124256,-0.616596014373441,2.22811065536095,0.691863537415564,"ok","control 0 -> 0.5"
"nec","linear","sqrt","Gamma","gamma(5, 1.78885438199983)",0,3.16227766016838,2,2.23583193257461,0.814946379861901,3.10078197942527,0.434133570107697,"ok",""
"nec","linear_unit","identity","Beta","beta(2, 2)",0,1,0.4,0.499999999999996,0.0942993240502461,0.905700675949754,0.352,"ok",""
"nec","linear_unit","log","gaussian","normal(-0.693147180559945, 9.24052013875843)",-2.99573227355399,0,-0.916290731874155,-0.693513601751492,-2.91918110736749,-0.0744744376331045,0.691863537415565,"ok","control 0 -> 0.05"
"nec","linear_unit","sqrt","Beta","beta(2, 2)",0,1,0.632455532033676,0.499999999999996,0.0942993240502461,0.905700675949754,0.694035574373059,"ok",""
"nec","log_2fold","identity","Gamma","gamma(5, 6.4)",0,10,1.25,0.625242711891022,0.253669748456003,1.60024823053183,0.900367599512954,"truth in tail",""
"nec","log_2fold","log","gaussian","normal(-0.470003629245736, 18.0712942147325)",-3.24419363285249,2.30258509299405,0.22314355131421,-0.469417578005012,-3.10451089610269,2.16290420684219,0.625567106993515,"ok","control 0 -> 0.039"
"nec","log_2fold","sqrt","Gamma","gamma(5, 5.05964425626941)",0,3.16227766016838,1.11803398874989,0.790441531322615,0.320835005857845,2.01948478387703,0.666661751786628,"ok",""
"nec","log_unit","identity","Beta","beta(2, 2)",0,1,0.25,0.499999999999996,0.0942993240502461,0.905700675949754,0.15625,"ok",""
"nec","log_unit","log","gaussian","normal(-3.11996295320324, 20.0841774682848)",-6.23992590640648,0,-1.38629436111989,-3.11996295320324,-6.08276079942288,-0.157165106983603,0.77860666228816,"ok","control 0 -> 0.00195"
"nec","log_unit","sqrt","Beta","beta(2, 2)",0,1,0.5,0.499999999999996,0.0942993240502461,0.905700675949754,0.5,"ok",""
"nec","log_wide","identity","Gamma","gamma(5, 25)",0,20,1.25,0.160062134244102,0.0649394556047368,0.409663547016148,0.999999998784346,"truth in extreme tail",""
"nec","log_wide","log","gaussian","normal(-1.83258146374831, 24.2467303459692)",-5.29831736654804,2.99573227355399,0.22314355131421,-1.83347679187144,-5.0900607476108,2.78551673780463,0.667498132132393,"ok","control 0 -> 0.005"
"nec","log_wide","sqrt","Gamma","gamma(5, 10)",0,4.47213595499958,1.11803398874989,0.400155335474792,0.162348639011842,1.02415886754033,0.986631021212434,"truth in extreme tail",""
