"par","family","link","prior_type","prior_dist","reads_response","anchor_of_mean","anchor_of_mode","sd_over_y_range_min","sd_over_y_range_max","p_truth_min","p_truth_max","cells_outside_95","n_cells","example_prior","lb","ub","jss_specification"
"bot","bernoulli","logit","uninformative","normal",TRUE,"y_min","y_min",0.82218652141146,1.25957868413945,0.556695842832829,0.586463463339683,0,15,"normal(-4.59511985013459, 11.5758300285912)",NA,NA,"normal, mean at q10 of response on link scale, sd 2.5 * sd(y)"
"bot","Beta","identity","uninformative","beta",FALSE,"fixed","fixed",0.161241214903192,0.167111553539679,0.032773828125,0.032773828125,0,15,"beta(2, 5)",0,1,"fixed beta(2, 5)"
"bot","Beta","logit","uninformative","normal",TRUE,"y_q10","y_q10",0.514700096999943,0.73203192970228,0.239388450407162,0.559834057793905,0,15,"normal(-3.06349933701391, 6.45836070255313)",NA,NA,"normal, mean at q10 of response on link scale, sd 2.5 * sd(y)"
"bot","beta_binomial","identity","uninformative","beta",FALSE,"fixed","fixed",0.1598789802605,0.1598789802605,0.032773828125,0.032773828125,0,15,"beta(2, 5)",0,1,"fixed beta(2, 5)"
"bot","beta_binomial","logit","uninformative","normal",TRUE,"y_q10","y_q10",0.528712072522619,0.809379094948382,0.328770608482328,0.656745453359573,0,15,"normal(-7.6004023345004, 11.5361694304489)",NA,NA,"normal, mean at q10 of response on link scale, sd 2.5 * sd(y)"
"bot","binomial","identity","uninformative","beta",FALSE,"fixed","fixed",0.1598789802605,0.1598789802605,0.032773828125,0.032773828125,0,15,"beta(2, 5)",0,1,"fixed beta(2, 5)"
"bot","binomial","logit","uninformative","normal",TRUE,"y_q10","y_q10",0.566863639656385,0.767969469984997,0.362126262856726,0.654994554882733,0,15,"normal(-5.26770388793052, 10.3825732612728)",NA,NA,"normal, mean at q10 of response on link scale, sd 2.5 * sd(y)"
"bot","Gamma","identity","uninformative","gamma",TRUE,"y_q25","y_min",0.092222485512923,0.471572741451334,0.0841251698150577,0.530176550471176,0,15,"gamma(2, 0.852197650095661)",0,NA,"gamma shape 2, mean at q25 of response"
"bot","Gamma","log","uninformative","normal",TRUE,"y_q10","y_q10",0.518617841881462,0.818867240026371,0.198733762033599,0.524778421162933,0,15,"normal(0.651827946309322, 1.74619400507973)",NA,NA,"normal, mean at q10 of response on link scale, sd 2.5 * sd(y)"
"bot","gaussian","identity","uninformative","normal",TRUE,"y_q10","y_q10",0.590157890447946,0.949754692774906,0.196115811258859,0.507859777069185,0,15,"normal(2.06054910774711, 8.87994121276002)",NA,NA,"normal, mean at q10 of response on link scale, sd 2.5 * sd(y)"
"bot","gaussian","log","uninformative","normal",TRUE,"y_q10","y_q10",0.538693515599185,0.877702549441615,0.125973728328299,0.5350694976328,0,15,"normal(0.715277951036428, 1.68094243308006)",NA,NA,"normal, mean at q10 of response on link scale, sd 2.5 * sd(y)"
"bot","hurdle_gamma","identity","uninformative","gamma",TRUE,"y_q25","y_min",0.110736051135282,0.464254953278062,0.0887642159035109,0.547956527358194,0,15,"gamma(2, 0.827439088596539)",0,NA,"gamma shape 2, mean at q25 of response"
"bot","hurdle_gamma","log","uninformative","gamma",TRUE,"y_q25","y_min",0.100112816861645,0.491141093048229,0.0127716903890104,0.136770276510346,6,15,"gamma(2, 0.822248141670517)",0,NA,"normal, mean at q10 of response on link scale, sd 2.5 * sd(y)"
