IRGAROL,Fv/Fm,DIURON,Fv/Fm,AMETRYN,Fv/Fm,Tebuthiuron,Fv/Fm,Hexazinone,Fv/Fm,Ioxynil,Fv/Fm,Simazine,Fv/Fm,Atrazine,Fv/Fm
10.0,0.02,10.0,0.07,10.0,0.06,10.0,0.68,10,0.23,,,100,0.36,30,0.39
10.0,0.00,10.0,0.10,10.0,0.09,10.0,0.69,10,0.29,,,100,0.39,30,0.36
10.0,0.02,10.0,0.08,10.0,0.07,10.0,0.67,10,0.30,,,100,0.34,30,0.36
10.0,0.00,10.0,0.10,10.0,0.05,10.0,0.69,10,0.28,,,100,0.35,30,0.32
10.0,0.01,10.0,0.10,10.0,0.05,10.0,0.64,10,0.31,,,100,0.36,30,0.37
30.0,0.01,30.0,0.04,30.0,0.03,30.0,0.61,30,0.07,,,300,0.18,100,0.19
30.0,0.01,30.0,0.03,30.0,0.02,30.0,0.59,30,0.10,,,300,0.22,100,0.14
30.0,0.00,30.0,0.03,30.0,0.03,30.0,0.62,30,0.10,,,300,0.17,100,0.19
30.0,0.00,30.0,0.02,30.0,0.03,30.0,0.57,30,0.06,,,300,0.20,100,0.15
30.0,0.00,30.0,0.07,30.0,0.03,30.0,0.60,30,0.09,,,300,0.17,100,0.13
30.0,0.00,30.0,0.07,30.0,0.02,30.0,0.60,30,0.08,,,300,0.18,100,0.16
30.0,0.00,30.0,0.03,30.0,0.02,30.0,0.58,30,0.09,,,300,0.16,100,0.14
30.0,0.01,30.0,0.04,30.0,0.01,30.0,0.59,30,0.08,,,300,0.18,100,0.18
30.0,0.00,30.0,0.06,30.0,0.04,30.0,0.63,30,0.10,,,300,0.20,100,0.22
30.0,0.01,30.0,0.05,30.0,0.01,30.0,0.59,30,0.09,,,300,0.18,100,0.18
30.0,0.00,30.0,0.03,30.0,0.00,30.0,0.60,30,0.09,,,300,0.24,100,0.14
30.0,0.00,30.0,0.04,30.0,0.00,30.0,0.63,30,0.11,,,300,0.25,100,0.20
,,,,100.0,0.01,100,0.36,100,0.04,,,,,1000,0.07
,,,,100.0,0.01,100,0.32,100,0.02,,,,,1000,0.08
,,,,100.0,0.00,100,0.33,100,0.01,,,,,1000,0.10
,,,,100.0,0.00,100,0.30,100,0.02,,,,,1000,0.06
,,,,100.0,0.04,100,0.33,100,0.00,,,,,1000,0.06
,,,,100.0,0.04,100,0.33,,,,,,,1000,0.04
,,,,100.0,0.03,100,0.27,,,,,,,1000,0.05
,,,,100.0,0.00,100,0.33,,,,,,,1000,0.04
,,,,100.0,0.03,100,0.27,,,,,,,1000,0.13
,,,,100.0,0.01,100,0.33,,,,,,,1000,0.06
,,,,100.0,0.01,100,0.34,,,,,,,1000,0.04
,,,,100.0,0.01,100,0.27,,,,,,,1000,0.05
,,,,300.0,0.02,300,0.18,,,,,,,,
,,,,300.0,0.00,300,0.19,,,,,,,,
,,,,300.0,0.00,300,0.19,,,,,,,,
,,,,300.0,0.00,300,0.16,,,,,,,,
,,,,300.0,0.00,300,0.16,,,,,,,,
,,,,300.0,0.00,300,0.16,,,,,,,,
,,,,300.0,0.00,300,0.15,,,,,,,,
,,,,300.0,0.00,300,0.14,,,,,,,,
,,,,300.0,0.03,300,0.17,,,,,,,,
,,,,300.0,0.05,300,0.11,,,,,,,,
,,,,300.0,0.03,300,0.12,,,,,,,,
,,,,300.0,0.02,300,0.16,,,,,,,,
,,,,,,1000,0.05,,,,,,,,
,,,,,,1000,0.07,,,,,,,,
,,,,,,1000,0.07,,,,,,,,
,,,,,,1000,0.04,,,,,,,,
,,,,,,1000,0.06,,,,,,,,
,,,,,,1000,0.04,,,,,,,,
,,,,,,1000,0.04,,,,,,,,
,,,,,,1000,0.05,,,,,,,,
,,,,,,1000,0.06,,,,,,,,
,,,,,,1000,0.06,,,,,,,,
,,,,,,1000,0.05,,,,,,,,
,,,,,,1000,0.05,,,,,,,,
