"dataset","arm","spec","erc50","erc50_lo","erc50_hi","nsec","max_rhat","divergent"
2,"B1","homosced",4.93902491202837,4.49506761656515,5.4384768694245,2.25841387511603,1.01878142191423,0
2,"B2","homosced",5.01301779460557,3.84762989401461,5.91943060617632,3.59268691572495,1.01475098304973,0
2,"B3","homosced",4.86503202945117,4.42107473398794,5.36448398684729,2.39970038145565,1.00455586830974,0
2,"C","homosced",4.95752313267267,4.45807117527654,5.4754733107131,2.23718263611946,1.00745069906728,0
2,"D","homosced",5.14453473867354,4.72069708585677,5.58436626518151,1.91074881521815,1.00209380953338,0
3,"A","disp",4.80953736751826,4.27308896883353,5.3834446630077,1.86670030293032,1.00389578097113,0
3,"B1","disp",4.53206405785375,4.23609252754493,4.84653380880686,3.00526226385523,1.00886193293034,0
3,"B2","disp",4.95752313267267,4.03261210045762,6.30835569522275,2.11646323081253,1.02145720905407,0
3,"B3","disp",4.51356583720945,4.23609252754493,4.80953736751826,3.01649627369088,1.0022538000297,0
3,"C","disp",4.69854804365246,4.19909608625633,5.30898932491439,2.0147842906627,1.00330170718335,5
3,"D","disp",4.65672159109198,4.21689006458401,5.16052861236474,2.0529347069179,1.00341956976997,0
3,"A","homosced",4.80953736751826,4.23609252754493,5.4754733107131,2.14472433847965,1.00421455759084,0
3,"B1","homosced",4.51356583720945,4.16163718945162,4.88353025009547,2.89348621224569,1.01464625353368,0
3,"B2","homosced",4.45807117527654,3.5886548049944,5.40148042813589,3.35676032092757,1.00535356956931,6
3,"B3","homosced",4.51356583720945,4.14360142432343,4.86503202945117,2.93693592504146,1.00662972459886,0
3,"C","homosced",4.58755871978665,4.18059786561203,5.06851245653848,2.33984938986029,1.00834803043216,0
3,"D","homosced",4.64872465424638,4.25687474881201,5.05656843337195,2.13130825790657,1.00394131334974,0
4,"A","disp",4.75404270558536,4.29158718947783,5.23545889785329,1.8705905331616,1.00140266218612,0
4,"B1","disp",4.58755871978665,4.23609252754493,4.97602135331697,2.99462508208349,1.00527060327808,0
4,"B2","disp",4.84653380880686,3.94012099723611,6.15990747455224,2.05567919482921,1.00460022291132,0
4,"B3","disp",4.55056227849805,4.21759430690063,4.92052669138407,3.04342049114792,1.00561083440898,0
4,"C","disp",4.68004982300816,4.19909608625633,5.17950178040428,2.05526886108499,1.00216638231721,0
4,"D","disp",4.72869402270237,4.13692069612801,5.51239383357112,2.00074565241976,1.00837654511685,0
4,"A","homosced",4.80953736751826,4.34708185141074,5.29049110427009,1.993486099719,1.00239796617388,0
4,"B1","homosced",4.55056227849805,4.16209964496773,4.93948736754448,2.91170609591863,1.00379043008945,0
4,"B2","homosced",4.51356583720945,3.6441494669273,5.4199786487802,3.34348892072619,1.00595150769396,2
4,"B3","homosced",4.51356583720945,4.16209964496773,4.90202847073977,2.965915706156,1.00545647806816,0
4,"C","homosced",4.71704626429676,4.31008541012214,5.17950178040428,2.15184919286504,1.00505590528078,0
4,"D","homosced",4.68870933847438,4.24088087512081,5.15253167551914,2.23306157548459,1.00212615238594,0
5,"A","disp",4.77254092622966,4.16209964496773,5.4754733107131,2.09555766429866,1.00247649693919,0
5,"B1","disp",4.60605694043095,3.90312455594751,5.4569750900688,2.1820458697438,1.00375629824772,0
5,"B2","disp",4.79103914687396,3.8286692178542,6.14140925390794,2.21409908494318,1.00187402794062,0
5,"B3","disp",4.56906049914235,3.95861921788042,5.32748754555869,2.19603144823776,1.00337199549502,0
5,"C","disp",4.75404270558536,4.08810676239052,5.530967972646,2.11498939456184,1.00279032267285,0
5,"D","disp",4.88863275961436,3.79305241176724,6.33607832866786,2.13988347554405,1.00399671257696,1
5,"A","homosced",4.95752313267267,4.36558007205504,5.60496085522321,2.35271700564486,1.00575888120908,0
5,"B1","homosced",4.75404270558536,4.14360142432343,5.5124697520017,2.24347392220381,1.00309250150427,0
5,"B2","homosced",4.32858363076644,3.38471192239098,5.64195729651181,2.9718924559191,1.01042865199197,2
5,"B3","homosced",4.66155160236385,4.10660498303482,5.32748754555869,2.30848174012514,1.00431326132505,0
5,"C","homosced",5.08701067718278,4.47656939592084,5.71595017908901,2.17212107451305,1.00113012440354,0
5,"D","homosced",4.88863275961436,3.91300646445123,5.76049879920584,2.26185902110406,1.00948188288604,0
6,"A","disp",4.62455516107525,4.08810676239052,5.19800000104858,1.83109239490146,1.0041336136755,0
6,"B1","disp",4.43957295463224,3.92162277659181,5.03151601524987,1.96034887911851,1.00164732420152,0
6,"B2","disp",4.97602135331697,3.94012099723611,6.60386477001546,1.94585898074224,1.00321300483462,0
6,"B3","disp",4.34708185141074,3.88462633530321,4.88353025009547,2.01772384084805,1.00430353838528,0
6,"C","disp",4.58755871978665,4.03261210045762,5.19800000104858,1.83387403672668,1.00518608938462,0
6,"D","disp",4.69270780689718,3.98477897264049,5.55237851779912,1.83093556519012,1.00851772454189,0
6,"A","homosced",4.68004982300816,4.03261210045762,5.4569750900688,2.38283162443298,1.00164157367009,0
6,"B1","homosced",4.43957295463224,3.94012099723611,5.01301779460557,1.98821446877243,1.00249524862806,0
